Period,Mark_Number,sex,Capture_Status,Team_combo
1,101,F,Mark,BCDE
1,124,F,Mark,BCDE
1,132,M,Mark,BCDE
1,112,F,Mark,BCDE
1,127,F,Mark,BCDE
2,108,M,Recap,BCDE
2,130,F,Mark,BCDE
2,143,F,Recap,BCDE
2,111,F,Mark,BCDE
2,112,F,Recap,BCDE
1,115,F,Mark,BCDE
1,139,F,Mark,BCDE
1,128,M,Mark,BCDE
1,131,NA,Mark,BCDE
1,142,M,Mark,BCDE
2,136,F,Mark,BCDE
2,130,M,Mark,BCDE
2,128,M,Recap,BCDE
2,106,F,Mark,BCDE
2,100,M,Mark,BCDE
1,104,F,Mark,BCDE
1,143,F,Mark,BCDE
1,144,M,Mark,BCDE
1,137,F,Mark,BCDE
1,141,F,Mark,BCDE
2,131,F,Recap,BCDE
2,144,M,Recap,BCDE
2,139,F,Recap,BCDE
2,109,F,Mark,BCDE
2,110,F,Mark,BCDE
1,108,M,Mark,BCDE
1,102,F,Mark,BCDE
1,138,M,Mark,BCDE
1,114,F,Mark,BCDE
2,122,M,Mark,BCDE
2,117,M,Mark,BCDE
2,113,M,Mark,BCDE
2,105,F,Mark,BCDE
2,129,F,Mark,BCDE
